date,open,high,low,close,volume,amount,outstanding_share,turnover
2022-07-28,3498.77,3536.83,3469.07,3474.08,9260926.0,1744687639.0,3881445239.9999995,0.002385947869252949
2022-07-29,3462.38,3462.38,3301.04,3312.18,34031091.0,6166191233.0,3881445239.9999995,0.008767633934209517
2022-08-01,3314.04,3341.7,3282.85,3315.53,15608201.0,2791638728.0,3881445239.9999995,0.004021234368876476
2022-08-02,3284.34,3317.01,3213.41,3261.31,17673794.0,3114640799.0,3881445239.9999995,0.004553405473266448
2022-08-03,3265.4,3332.61,3236.06,3241.45,15403054.0,2710918104.0,3881445239.9999995,0.003968381117750872
2022-08-04,3241.63,3295.29,3238.85,3282.11,13368553.0,2350151180.0,3881445239.9999995,0.0034442204316658094
2022-08-05,3294.55,3332.61,3271.52,3326.67,12701711.0,2260873414.0,3881445239.9999995,0.003272417930595358
2022-08-08,3310.33,3370.3,3295.47,3303.09,13025113.0,2331931588.0,3881445239.9999995,0.003355737926113316
2022-08-09,3287.12,3304.76,3271.71,3285.82,8538631.0,1511033063.0,3881445239.9999995,0.0021998586794438457
2022-08-10,3259.83,3295.47,3211.93,3230.49,14354932.0,2503385133.0,3881445239.9999995,0.0036983471651399627
2022-08-11,3248.87,3303.09,3240.7,3303.09,13967051.0,2468539674.0,3881445239.9999995,0.0035984150584074713
2022-08-12,3310.33,3335.58,3280.81,3317.75,10861895.0,1936659422.0,3881445239.9999995,0.002798415107873582
2022-08-15,3297.89,3334.46,3262.06,3267.63,13844011.0,2446911673.0,3881445239.9999995,0.003566715525786988
2022-08-16,3267.07,3291.76,3243.49,3253.33,10997543.0,1929236389.0,3881445239.9999995,0.0028333629150980887
2022-08-17,3254.82,3285.63,3230.86,3271.34,12211628.0,2144649842.0,3881445239.9999995,0.00314615491007159
2022-08-18,3249.06,3252.77,3193.55,3219.91,17955216.0,3110937648.0,3881445239.9999995,0.004625909909784017
2022-08-19,3202.64,3251.84,3193.36,3224.18,12603780.0,2189742325.0,3881445239.9999995,0.003247187380131634
2022-08-22,3198.93,3220.28,3161.06,3184.08,15513018.0,2663565072.0,3881445239.9999995,0.003996711802122449
2022-08-23,3187.79,3198.75,3109.81,3119.1,22924845.0,3868689013.0,3881445239.9999995,0.005906265213727452
2022-08-24,3118.35,3146.95,3081.97,3104.99,18025460.0,3021329673.0,3881445239.9999995,0.004644007292500152
2022-08-25,3117.05,3155.86,3104.8,3145.28,17485390.0,2949656306.0,3881445239.9999995,0.004504865821577326
2022-08-26,3191.13,3226.78,3148.06,3158.09,24378683.0,4181288062.0,3881445239.9999995,0.006280826211012062
2022-08-29,3108.7,3147.87,3063.4,3069.9,25430564.0,4218793350.0,3881445239.9999995,0.006551828617321934
