symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh603298,杭叉集团,24.820,0.090,0.364,24.820,24.830,24.730,24.760,24.970,24.660,2436000,60453667,603298,15:00:03
sh603338,浙江鼎力,47.840,-0.740,-1.523,47.840,47.850,48.580,48.580,48.900,47.840,1666768,80285070,603338,15:00:01
sh603341,龙旗科技,36.380,-0.840,-2.257,36.380,36.390,37.220,37.400,37.580,36.360,4847900,178191183,603341,15:00:03
sh603345,安井食品,96.610,0.240,0.249,96.610,96.630,96.370,97.150,97.150,95.500,2822304,272571384,603345,15:00:01
sh603379,三美股份,61.780,0.290,0.472,61.770,61.780,61.490,62.000,62.990,61.330,4482381,278170629,603379,15:00:01
sh603444,吉比特,359.190,-5.360,-1.470,359.140,359.190,364.550,365.000,366.620,358.280,956071,345464077,603444,15:00:01
sh603486,科沃斯,59.890,-0.670,-1.106,59.880,59.890,60.560,60.560,61.000,59.670,2093279,125966951,603486,15:00:03
sh603529,爱玛科技,30.150,-1.360,-4.316,30.150,30.160,31.510,31.590,31.800,30.120,18147089,555504451,603529,15:00:03
sh603565,中谷物流,11.410,-0.190,-1.638,11.400,11.410,11.600,11.530,11.720,11.380,14018923,161388776,603565,15:00:01
sh603568,伟明环保,24.780,-0.240,-0.959,24.770,24.780,25.020,24.890,25.120,24.690,2810453,69827945,603568,15:00:03
sh603589,口子窖,24.490,-0.700,-2.779,24.490,24.500,25.190,25.120,25.200,24.460,3212490,79362358,603589,15:00:01
sh603596,伯特利,43.530,-0.370,-0.843,43.530,43.540,43.900,44.300,45.080,43.500,7150166,314814261,603596,15:00:03
sh603605,珀莱雅,59.830,-1.220,-1.998,59.820,59.830,61.050,61.100,61.300,59.650,2394888,144109015,603605,15:00:01
sh603606,东方电缆,58.190,-2.640,-4.340,58.190,58.200,60.830,60.720,60.800,58.070,9578271,562947027,603606,15:00:03
sh603650,彤程新材,48.850,0.030,0.061,48.850,48.860,48.820,49.200,49.560,48.770,5387264,264901146,603650,15:00:01
sh603658,安图生物,33.980,-0.510,-1.479,33.980,33.990,34.490,34.280,34.450,33.730,1941724,66061578,603658,15:00:01
sh603659,璞泰来,29.890,-1.310,-4.199,29.890,29.900,31.200,30.960,31.360,29.560,65797362,1978866927,603659,15:00:00
sh603688,石英股份,42.220,-0.180,-0.425,42.210,42.220,42.400,42.620,43.110,42.210,14096549,599847139,603688,15:00:03
sh603699,纽威股份,50.510,-1.740,-3.330,50.510,50.550,52.250,52.650,52.800,50.390,4006700,205198245,603699,15:00:01
sh603707,健友股份,9.670,-0.280,-2.814,9.660,9.670,9.950,9.860,9.890,9.650,12082400,117770706,603707,15:00:00
sh603728,鸣志电器,55.620,-0.900,-1.592,55.610,55.620,56.520,56.520,56.750,55.600,2416140,135446056,603728,15:00:03
sh603737,三棵树,49.880,-1.240,-2.426,49.860,49.880,51.120,51.130,51.400,49.510,1816304,90773316,603737,15:00:03
sh603766,隆鑫通用,14.290,0.320,2.291,14.280,14.290,13.970,13.980,14.790,13.900,42402268,608921506,603766,15:00:03
sh603786,科博达,53.380,-0.830,-1.531,53.370,53.380,54.210,54.210,54.490,53.200,2131854,114584320,603786,15:00:03
sh603806,福斯特,16.850,-0.820,-4.641,16.850,16.860,17.670,17.520,17.610,16.750,37374676,634647469,603806,15:00:03
sh603816,顾家家居,33.620,-0.380,-1.118,33.620,33.630,34.000,33.620,34.050,33.500,2269150,76593808,603816,15:00:03
sh603833,欧派家居,54.730,-1.070,-1.918,54.730,54.740,55.800,55.500,56.080,53.900,1701780,92588150,603833,15:00:01
sh603858,步长制药,16.430,-0.390,-2.319,16.430,16.440,16.820,16.720,16.790,16.410,4303849,71261290,603858,15:00:00
sh603885,吉祥航空,12.080,-0.100,-0.821,12.080,12.090,12.180,12.220,12.250,11.970,9293531,112200825,603885,15:00:01
sh603899,晨光股份,25.640,-0.360,-1.385,25.640,25.650,26.000,25.950,25.950,25.460,2641400,67731469,603899,15:00:01
sh603920,世运电路,49.040,-0.260,-0.527,49.040,49.050,49.300,49.400,50.100,49.010,14824783,733662961,603920,15:00:03
sh603927,中科软,16.100,-0.240,-1.469,16.100,16.110,16.340,16.340,16.460,16.080,4706212,76286734,603927,15:00:01
sh603939,益丰药房,23.410,-0.620,-2.580,23.410,23.430,24.030,23.860,23.940,23.350,5137506,121295902,603939,15:00:03
sh603979,金诚信,57.810,-0.410,-0.704,57.810,57.830,58.220,58.560,58.830,57.560,5333221,309542357,603979,15:00:03
sh605358,立昂微,32.440,0.240,0.745,32.440,32.450,32.200,32.580,32.840,32.280,8219072,267452041,605358,15:00:03
sh605589,圣泉集团,32.430,2.950,10.007,32.430,0.000,29.480,29.790,32.430,29.660,34256886,1086110863,605589,15:00:01
sh688002,睿创微纳,102.190,0.700,0.690,102.130,102.190,101.490,101.860,103.500,101.130,4011670,410060721,688002,15:34:59
sh688017,绿的谐波,187.300,-6.200,-3.204,187.290,187.300,193.500,193.490,195.000,186.510,4476245,847178659,688017,15:00:03
sh688018,乐鑫科技,141.030,-1.260,-0.886,141.030,141.080,142.290,142.400,143.920,140.400,1508935,214623418,688018,15:00:03
sh688019,安集科技,254.100,3.840,1.534,254.040,254.100,250.260,251.900,257.670,249.510,2240323,568314751,688019,15:00:03
sh688027,国盾量子,527.680,4.480,0.856,527.680,527.990,523.200,529.190,538.350,522.120,1701928,903218968,688027,15:00:03
sh688037,芯源微,164.260,-2.200,-1.322,164.260,164.420,166.460,168.100,168.800,162.800,2415791,398923202,688037,15:00:03
sh688052,纳芯微,148.650,-2.440,-1.615,148.650,148.800,151.090,151.360,152.380,145.870,1851816,275100097,688052,15:00:01
sh688065,凯赛生物,47.700,-1.960,-3.947,47.700,47.740,49.660,49.510,49.950,47.650,3878651,187274916,688065,15:00:03
sh688099,晶晨股份,75.760,-0.920,-1.200,75.760,75.780,76.680,76.810,78.430,75.700,6670637,512108546,688099,15:00:03
sh688100,威胜信息,35.500,-0.720,-1.988,35.490,35.500,36.220,36.580,36.580,35.420,1814529,65057428,688100,15:00:01
sh688114,华大智造,48.240,-1.660,-3.327,48.240,48.310,49.900,49.710,49.870,48.200,2082968,101582171,688114,15:00:03
sh688120,华海清科,170.470,-1.430,-0.832,170.430,170.470,171.900,172.910,175.320,169.000,2506473,431946278,688120,15:00:01
sh688122,西部超导,68.580,-1.020,-1.466,68.580,68.590,69.600,69.600,70.280,68.310,7265547,501274834,688122,15:00:03
sh688166,博瑞医药,53.360,-1.030,-1.894,53.350,53.360,54.390,52.800,55.490,52.800,14880565,801841570,688166,15:00:01
sh688172,燕东微,36.300,-0.650,-1.759,36.300,36.310,36.950,37.360,37.510,36.180,6524682,239628512,688172,15:00:01
sh688180,君实生物,38.790,-0.070,-0.180,38.780,38.790,38.860,38.030,39.170,37.910,21807343,842765887,688180,15:34:59
sh688183,生益电子,82.590,1.330,1.637,82.580,82.590,81.260,82.370,84.360,81.310,11410648,946482760,688183,15:34:59
sh688188,柏楚电子,131.480,-0.080,-0.061,131.360,131.480,131.560,131.560,132.300,130.370,858335,112877834,688188,15:00:01
sh688192,迪哲医药,57.500,-1.070,-1.827,57.500,57.560,58.570,56.760,58.190,55.900,4429227,252683641,688192,15:00:03
sh688213,思特威,90.270,6.230,7.413,90.260,90.270,84.040,85.050,91.400,84.190,14458351,1284453739,688213,15:34:59
sh688220,翱捷科技,66.210,-0.600,-0.898,66.210,66.250,66.810,67.700,67.890,65.930,4013727,267507833,688220,15:34:59
sh688234,天岳先进,90.440,4.890,5.716,90.380,90.440,85.550,89.830,96.430,89.830,13570161,1256650739,688234,15:00:00
sh688235,百济神州,239.290,-9.960,-3.996,239.290,239.400,249.250,243.020,244.460,238.000,3744060,901394217,688235,15:00:03
